Sno,Merger 1,Merger 2,Merger 3,Merger 4,Merger 5,Final Merged,Sector,Action,Swap Ratio,Trading,Final Approval Date,Joint Transaction Date
37,Mirmire Laghubitta Bittya Sanstha Limited,Buddha Jyoti Laghubitta Bittiya Sanstha Limited,,,,Mirmire Laghubitta Bittya Sanstha Limited,Microfinance,Acquisition,100: 76,Yes,8/22/2022,8/31/2022
38,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,Unique Nepal Laghubitta Bittiya Sanstha Limited,,,,Unique Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,01:00.5,Yes,10/15/2021,1/14/2022
39,Rairang Hydropower Development Company Ltd.,Ridi Hydropower Development Company Ltd.,,,,Ridi Power Company Limited,Hydropower,Merger,100: 93,Yes,7/14/2022,9/15/2022
40,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Deurali Laghubitta Bittiya Sanstha Limited.,,,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,Acquisition,01:00.8,Yes,10/18/2021,11/16/2021
41,Womi Microfinance Bittiya Sanstha Ltd.,Suryodaya Laghubitta Bittiya Sanstha Ltd.,,,,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,1:01,Yes,2/24/2022,4/3/2022
42,Makar Jitumaya Suri Hydropower Limited,Surikhola Hydropower Limited�,,,,Makar Jitumaya Suri Hydropower Limited,Hydropower,Merger,1:01,Yes,7/15/2021,7/16/2021
43,CYC Nepal Laghubitta Bittiya Sanstha Limited,Shaligram Laghubitta Bittiya Sanstha Limited.,,,,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,Acquisition,1:01,Yes,6/29/2021,7/13/2021
44,Nabil Bank Limited,United Finance Ltd.,,,,Nabil Bank Limited,Commercial Bank,Acquisition,01:00.3,Yes,7/2/2021,7/11/2021
45,Global IME Laghubitta Bittiya Sanstha Ltd.,Sparsha Laghubitta Bittiya Sanstha Limited,,,,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,Acquisition,1:01,Yes,4/21/2021,4/21/2021
46,Samata Laghubitta Bittiya Sanstha Limited,Gharelu Laghubitta Bittiya Sanstha Limited,,,,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,01:00.8,Yes,4/7/2021,4/15/2021
47,Citizens Bank International Limited,Srijana Finance Limited,,,,Citizens Bank International Limited,Commercial Bank,Acquisition,1:01,Yes,5/25/2021,7/10/2021
48,Infinity Laghubitta Bittiya Sanstha Limited,Nepal Agro Laghubitta Bittiya Sanstha Limited,,,,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance,Acquisition,100:98,Yes,7/30/2021,8/20/2021
49,National Microfinance Laghubitta Bittiya Sanstha Limited,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,,,,National Laghubitta Bittiya Sanstha Limited,Microfinance,Acquisition,1:01,Yes,7/8/2021,7/14/2021
50,Womi Microfinance Bittiya Sanstha Ltd.,Grameen Swayamsewak Laghubitta Bittiya Sanstha Limited.,,,,Womi Microfinance Bittiya Sanstha Ltd.,Microfinance,Merger,1:01,Yes,1/17/2021,3/16/2021
51,Nepal Finance Ltd.,Lalitpur Finance Ltd.,,,,Nepal Finance Ltd.,Finance,Acquisition,1:01,Yes,7/5/2021,7/11/2021
52,Tinau Mission Development Bank Limited,Citizen Bank International Limited,,,,Citizens Bank International Limited,Commercial Bank,Acquisition,100:96,Yes,3/27/2021,3/27/2021
53,Swadeshi Laghubitta Bittiya Sanstha Ltd.,NIC Asia Laghubitta Bittiya Sanstha Limited,,,,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,100:94,Yes,3/21/2021,3/21/2021
54,Garima Bikas Bank Limited,Sahara Bikas Bank Ltd.,,,,Garima Bikas Bank Limited,Development Bank,Acquisition,1:01,Yes,10/18/2021,11/14/2021
