sn,Name,Symbol,Category,First Traded Price,First Traded Date,Last Traded Price,Last Traded Date,Note
736,United IDI Mardi RB Hydropower Limited.,UMRH,Hydropower,325.0,2020-12-20,576.9,2025-07-07,
737,10% Sunrise Debenture 2080,SRD80,Corporate Debenture,1000.0,2020-12-29,1030.0,2024-05-09,
738,9% NIC Asia Debenture 2081/82,NICAD8182,Corporate Debenture,1010.0,2021-01-03,1071.0,2025-01-08,
739,Prabhu Life Insurance Limited,PLI,Life Insurance,141.0,2021-01-03,587.0,2023-07-13,
740,Siddhartha Investment Growth Scheme - 2,SIGS2,Mutual Fund,10.45,2021-01-11,10.21,2025-07-07,
741,12% ICFC Finance Limited Debenture 2083,ICFCD83,Corporate Debenture,1127.0,2021-01-28,1274.0,2025-07-07,
742,Chandragiri Hills Limited,CGH,Hotels & Tourism,164.0,2021-02-07,949.72,2025-07-07,
743,Nepal Infrastructure Bank Limited,NIFRA,Investment,374.0,2021-02-14,275.08,2025-07-07,
744,Sanima Large Cap Fund,SLCF,Mutual Fund,10.29,2021-02-25,10.2,2025-07-07,
745,10.25% NBBL Debenture 2085,NBBD2085,Corporate Debenture,1051.0,2021-03-07,1130.9,2025-06-18,
746,GreenLife Hydropower Limited,GLH,Hydropower,328.0,2021-03-16,261.48,2025-07-07,
747,Mahila Lagubitta Bittiya Sanstha Limited,MLBSL,Microfinance,446.0,2021-03-16,2210.0,2025-07-07,
748,Jyoti Life Insurance Company Limited,JLI,Life Insurance,388.0,2021-04-07,351.9,2022-06-27,
749,Kumari Equity Fund,KEF,Mutual Fund,9.97,2021-04-19,9.35,2025-07-07,
750,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,Corporate Debenture,1001.0,2021-04-20,1140.0,2025-06-17,
751,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,Corporate Debenture,1050.0,2021-04-26,1272.5,2025-07-03,
752,10.25% SBL Debenture 2083,SBLD83,Corporate Debenture,1030.0,2021-04-26,1122.0,2025-04-21,
753,10% Laxmi Bank Debenture 2086,LBLD86,Corporate Debenture,1050.0,2021-04-28,1105.4,2025-07-06,
754,10.25% Prabhu Bank  Debenture 2086,PBLD86,Corporate Debenture,1050.0,2021-04-28,1127.0,2025-05-04,
