Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
144,2025-08-24,2832,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,1195.4,1218.9,1195.4,,6583,7929796.5,1219.78,1290,795.2,2025-08-24T12:45:02.688453,1202,26,1204.58,
145,2025-08-24,2835,NBF2,NABIL BALANCED FUND-2,10.05,10.5,10.05,,15035,156491.05,10.23,11.1,8.7,2025-08-24T12:45:45.825784,10.5,8,10.4,
146,2025-08-24,2841,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,321,350,314,,37718,12001309.6,321.43,527,298,2025-08-24T12:46:25.21347,315,214,318.18,
147,2025-08-24,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,311,311,301.1,,2325,703986.5,304.98,397.8,295.3,2025-08-24T12:42:50.518328,301.5,37,302.78,
148,2025-08-24,2859,SIGS2,Siddhartha Investment Growth Scheme - 2,9.34,9.34,9,,117100,1062430,9.53,11.7,8.62,2025-08-24T12:24:16.988823,9.1,9,9.07,
149,2025-08-24,2860,SAPDBL,Saptakoshi Development Bank Ltd,840.1,866.7,840.1,,4263,3656294.4,850.16,1622.7,464.4,2025-08-24T12:46:28.050495,852,62,857.68,
150,2025-08-24,2862,CMF2,CITIZENS MUTUAL FUND 2,9.89,10,9.89,,2950,29430,10.04,10.86,9,2025-08-24T12:21:36.748033,10,4,9.97,
151,2025-08-24,2867,NMB50,NMB 50,11.3,11.5,11.1,,125600,1435062,11.25,12.54,9.57,2025-08-24T12:21:19.811276,11.49,23,11.42,
152,2025-08-24,2875,PBLD86,10.25% Prabhu Bank  Debenture 2086,1139,1141.5,1139,,25,28512.5,1127.1,1169,1050,2025-08-24T12:09:22.820766,1141.5,2,1140.5,
153,2025-08-24,2877,SFMF,Sunrise First Mutual Fund,9.75,9.75,9.61,,40600,395349,9.6,11.99,9.22,2025-08-24T12:44:45.899411,9.61,5,9.73,
154,2025-08-24,2880,HDHPC,Himal Dolakha Hydropower Company Limited,195.1,201,195.1,,26753,5332070.3,198.99,253,184,2025-08-24T12:40:57.554699,198.8,98,199.3,
155,2025-08-24,2881,NRIC,Nepal Reinsurance Company Limited,1584,1590,1565,,53948,85158864.8,1563.17,1691,722,2025-08-24T12:49:56.983686,1575,291,1578.53,
156,2025-08-24,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1195.6,1195.6,1195.6,,200,239120,1220,1464.8,1090,2025-08-24T12:24:35.793351,1195.6,1,1195.6,
157,2025-08-24,2887,NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,610.8,625,610.8,,1386,860557.7,617.3,900,602,2025-08-24T12:46:58.347071,620,40,620.89,
158,2025-08-24,2889,CIZBD86,10.25% Citizens Bank Debenture 2086,1185.9,1190,1185.9,,20,23759,1175,1178.7,1041,2025-08-24T12:11:57.233756,1190,2,1187.95,
159,2025-08-24,2892,NBLD82,10% Nabil Debenture 2082,1047.6,1047.6,1047.6,,25,26190,1046.7,1248,1027.2,2025-08-24T11:20:29.244796,1047.6,1,1047.6,
